
Score RelativePath                                                                                                 SizeKB MatchedTerms                                                                                                                                                  
   13 _backup_hybrid_text_layer_20260522_121448\knex-pdf-engine__text__SemanticTextLayer.ts                          0,42 filename:SemanticTextLayer, SemanticTextLayer, semantic, textLayerMode                                                                                        
   12 services\pdfAnnotation.service.ts                                                                              1,43 filename:annotation, highlight, annotation                                                                                                                    
   12 services\pdfHighlight.service.ts                                                                               1,63 filename:highlight, selection, highlight                                                                                                                      
   12 hooks\usePdfAnnotations.ts                                                                                     1,57 filename:annotation, highlight, annotation                                                                                                                    
   12 types\PdfHighlight.ts                                                                                          0,52 filename:highlight, selection, highlight                                                                                                                      
   12 types\PdfAnnotation.ts                                                                                         0,37 filename:annotation, highlight, annotation                                                                                                                    
   12 hooks\usePdfHighlights.ts                                                                                      1,53 filename:highlight, selection, highlight                                                                                                                      
   11 knex-pdf-engine\backends\future-mupdf\MuPdfAnnotationExtractor.ts                                              0,54 filename:annotation, annotation                                                                                                                               
   11 knex-pdf-engine\backends\future-pdfium\PdfiumAnnotationExtractor.ts                                            0,54 filename:annotation, annotation                                                                                                                               
   11 types\PdfTextSelection.ts                                                                                      0,38 filename:selection, selection                                                                                                                                 
   11 knex-pdf-engine\selection\SelectionOverlayLayer.ts                                                             0,36 filename:selection, selection                                                                                                                                 
   10 components\PdfTranslationLayer.tsx                                                                             3,22 fontFamily, fontSize, fontWeight, fontStyle, lineHeight, opacity, left, top, width, height                                                                    
    8 knex-pdf-engine\KnexPdfEngine.ts                                                                              17,99 RenderQualityController, DeviceCapabilities, visual, left, top, width, height, selection                                                                      
    8 types\PdfGeoText.ts                                                                                            0,82 fontFamily, fontSize, fontWeight, fontStyle, lineHeight, left, width, height                                                                                  
    7 web\page.tsx                                                                                                  24,83 left, top, width, height, selection, highlight, annotation                                                                                                    
    7 services\extraction\pdfGeoTextMapping.service.ts                                                               3,41 fontFamily, fontSize, fontWeight, fontStyle, lineHeight, width, height                                                                                        
    7 knex-pdf-engine\cache\PageBitmapCache.ts                                                                      28,23 bitmap-only, visual, renderMode, width, height, outputScale, renderScale                                                                                      
    7 services\pdfLoader.service.ts                                                                                 10,43 fontFamily, fontName, transform, top, width, height, annotation                                                                                               
    7 components\PdfReadingFrame.tsx                                                                                21,97 visual, transform, position, left, top, width, height                                                                                                         
    7 knex-pdf-engine\viewport\ScrollCoordinator.ts                                                                 27,99 visual, scaleX, scaleY, left, top, width, height                                                                                                              
    6 knex-pdf-engine\backends\pdfjs\PdfJsBackend.ts                                                                 4,56 PdfJsPageRenderer, RenderQualityController, extractText, semantic, annotation, renderScale                                                                    
    6 ui\ribbons\KnexreadRibbon.tsx                                                                                 12,13 visual, width, height, selection, highlight, annotation                                                                                                       
    6 knex-pdf-engine\backends\future-pdfium\PdfiumRuntimeLoader.ts                                                   7,5 PdfiumEmbedPdfRuntime, extractText, semantic, annotation, KNEX_PDF, KNEX_PDFIUM                                                                               
    5 web\styles\knexread.css                                                                                        4,17 left, top, width, height, selection                                                                                                                           
    5 services\reconstruction\reconstructionEngine.service.ts                                                        2,75 fontSize, lineHeight, opacity, width, height                                                                                                                  
    5 types\PdfReaderState.ts                                                                                        1,97 visual, top, width, highlight, annotation                                                                                                                     
    5 knex-pdf-engine\viewport\ZoomCenterAnchorController.ts                                                         21,3 visual, left, top, width, height                                                                                                                              
    5 components\index.ts                                                                                            0,54 PdfTextLayer, PdfPageView, PdfPageCanvas, highlight, annotation                                                                                               
