"File","FullPath","Score","Core","TileCore","Engine","PDFJS","PDFIUM","Render","Tiles","Scale","Lifecycle","TextLayer","Server","Backend"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\KnexPdfEngine.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\KnexPdfEngine.ts","1590","","","INDEFINIDO","0","0","0","0","0","30","0","6","244"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\NativeServerTileRenderer.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\NativeServerTileRenderer.ts","1560","SIM","","MISTO","2","1","12","0","12","9","0","10","19"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineTypes.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineTypes.ts","1510","","","PDFIUM","0","1","0","0","34","0","12","0","14"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfRuntimeLoader.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfRuntimeLoader.ts","1455","","","INDEFINIDO","0","0","7","4","0","10","2","2","117"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfBackend.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfBackend.ts","1235","","","INDEFINIDO","0","0","3","4","0","6","3","2","56"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\text\TextCoordinateMapper.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\text\TextCoordinateMapper.ts","1095","","","INDEFINIDO","0","0","0","0","18","0","21","0","9"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfThumbnailsPanel.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfThumbnailsPanel.tsx","1090","","SIM","INDEFINIDO","0","0","1","1","3","33","0","6","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineState.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineState.ts","1060","","","PDFIUM","0","4","0","0","0","6","0","0","75"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\index.ts","1040","SIM","","PDFIUM","0","1","1","1","0","6","0","24","28"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\BackendRegistry.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\BackendRegistry.ts","1015","","","PDFIUM","0","6","0","0","0","1","0","0","56"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\KnexPdfEngineProvider.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\KnexPdfEngineProvider.tsx","950","","","PDFIUM","0","5","0","0","0","0","0","0","101"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\PageTileCache.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\PageTileCache.ts","920","","SIM","INDEFINIDO","0","0","0","1","10","12","0","7","12"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\BackendSelector.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\BackendSelector.ts","865","","","PDFIUM","0","2","1","0","0","0","0","0","83"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\ZoomCenterAnchorController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\ZoomCenterAnchorController.ts","850","","","INDEFINIDO","0","0","0","2","0","0","0","2","56"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsBackend.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsBackend.ts","845","","","INDEFINIDO","0","0","3","0","0","8","3","1","31"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsTextExtractor.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsTextExtractor.ts","795","","","INDEFINIDO","0","0","2","0","0","0","28","0","11"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfPageRenderer.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\MuPdfPageRenderer.ts","675","","","INDEFINIDO","0","0","3","6","0","0","0","3","21"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.controller.ts","615","","","INDEFINIDO","0","0","0","0","0","0","0","36","5"
"knexwriter\src\modules\Knexread\native-pdf-reader\web\page.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\web\page.tsx","610","","","INDEFINIDO","0","0","0","2","0","15","6","3","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\PdfTileGeometry.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\PdfTileGeometry.ts","590","","SIM","INDEFINIDO","0","0","0","7","2","6","0","8","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTileLayer.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\PdfTileLayer.tsx","575","","","INDEFINIDO","0","0","0","0","0","11","0","15","5"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\ServerTileTypes.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\ServerTileTypes.ts","540","","SIM","PDFIUM","0","1","0","1","2","6","0","6","11"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsPageRenderer.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\pdfjs\PdfJsPageRenderer.ts","500","","","INDEFINIDO","0","0","2","0","5","1","0","1","16"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineEvents.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineEvents.ts","500","","","INDEFINIDO","0","0","0","0","0","5","0","0","25"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderTaskToken.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderTaskToken.ts","495","","","INDEFINIDO","0","0","7","0","0","10","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderManager.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\rendering\RenderManager.ts","480","","","INDEFINIDO","0","0","0","0","0","18","0","0","2"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\TileRenderScheduler.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\TileRenderScheduler.ts","450","","","INDEFINIDO","0","0","0","0","0","18","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\TileRenderTypes.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\TileRenderTypes.ts","445","","SIM","INDEFINIDO","0","0","0","2","2","6","0","8","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\ScrollCoordinator.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\ScrollCoordinator.ts","440","","","INDEFINIDO","0","0","0","0","5","8","0","1","5"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfDebugOverlay.tsx","415","","","INDEFINIDO","0","0","0","0","7","4","0","4","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfZoom.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfZoom.ts","405","","","INDEFINIDO","0","0","0","0","0","0","0","0","27"
