"File","FullPath","Score","Core","TileCore","Engine","PDFJS","PDFIUM","Render","Tiles","Scale","Lifecycle","TextLayer","Server","Backend"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineLogger.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineLogger.ts","75","","","INDEFINIDO","0","0","0","0","0","0","0","0","5"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\index.ts","70","","","INDEFINIDO","0","0","0","0","0","0","2","2","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfSidebar.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfSidebar.tsx","70","","","INDEFINIDO","0","0","0","2","0","0","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfSelection.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfSelection.ts","60","","","INDEFINIDO","0","0","0","0","1","0","0","1","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\selection\SelectionRectangleCalculator.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\selection\SelectionRectangleCalculator.ts","55","","","INDEFINIDO","0","0","0","0","0","0","2","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfTranslationLayer.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfTranslationLayer.tsx","55","","","INDEFINIDO","0","0","0","0","0","0","2","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\selection\SelectedTextExtractor.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\selection\SelectedTextExtractor.ts","55","","","INDEFINIDO","0","0","0","0","0","0","2","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\index.ts","55","","","INDEFINIDO","0","0","0","0","0","1","0","1","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\extraction\pdfGeoTextMapping.service.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\extraction\pdfGeoTextMapping.service.ts","55","","","INDEFINIDO","0","0","0","0","0","0","2","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\ServerTileCacheClient.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\server-tiles\ServerTileCacheClient.ts","50","","","INDEFINIDO","0","0","0","0","0","2","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfMetadata.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfMetadata.ts","45","","","INDEFINIDO","0","0","0","0","0","0","0","3","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\resolveTileRenderMode.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\resolveTileRenderMode.ts","45","","","INDEFINIDO","0","0","0","0","0","0","0","3","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\backends\future-mupdf\index.ts","45","","","INDEFINIDO","0","0","0","0","0","0","0","0","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\platform\PlatformAdapter.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\platform\PlatformAdapter.ts","45","","","INDEFINIDO","0","0","0","0","0","0","0","0","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\diagnostics\RenderDebugInfo.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\diagnostics\RenderDebugInfo.ts","45","","","INDEFINIDO","0","0","0","0","1","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\platform\WebPlatformAdapter.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\platform\WebPlatformAdapter.ts","45","","","INDEFINIDO","0","0","0","0","0","0","0","0","3"
"knexwriter\src\modules\Knexread\native-pdf-reader\ui\tabs\KnexreadTabs.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\ui\tabs\KnexreadTabs.tsx","35","","","INDEFINIDO","0","0","0","1","0","0","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfHighlightPopover.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfHighlightPopover.tsx","35","","","INDEFINIDO","0","0","0","1","0","0","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\pdfMetadata.service.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\pdfMetadata.service.ts","35","","","INDEFINIDO","0","0","0","0","0","0","1","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfCommentPopover.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfCommentPopover.tsx","35","","","INDEFINIDO","0","0","0","1","0","0","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\api\index.ts","30","","","INDEFINIDO","0","0","0","0","0","0","0","2","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\visualRenderMode.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\visualRenderMode.ts","30","","","INDEFINIDO","0","0","0","0","0","0","0","2","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfDocument.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfDocument.ts","30","","","INDEFINIDO","0","0","0","0","0","0","0","2","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\index.ts","30","","","INDEFINIDO","0","0","0","0","0","0","0","1","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfInteractionRenderGuard.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfInteractionRenderGuard.ts","25","","","INDEFINIDO","0","0","0","0","0","1","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\web\launchBridge.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\web\launchBridge.ts","25","","","INDEFINIDO","0","0","0","0","0","1","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfTranslation.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfTranslation.ts","20","","","INDEFINIDO","0","0","0","0","0","0","1","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfGeoText.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfGeoText.ts","20","","","INDEFINIDO","0","0","0","0","0","0","1","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\onlineTranslation.provider.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\onlineTranslation.provider.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfHighlights.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfHighlights.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfTranslationProvider.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfTranslationProvider.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfSearch.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfSearch.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfReaderState.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\types\PdfReaderState.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\annotations\AnnotationController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\annotations\AnnotationController.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfAnnotationLayer.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfAnnotationLayer.tsx","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\workers\WorkerPoolController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\workers\WorkerPoolController.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\ruler\RulerScrollSyncController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\ruler\RulerScrollSyncController.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\selection\SelectionOverlayLayer.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\selection\SelectionOverlayLayer.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\ruler\RulerState.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\ruler\RulerState.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\integration\KnexReadIntegration.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\integration\KnexReadIntegration.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\extraction\pdfOcrPipeline.service.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\extraction\pdfOcrPipeline.service.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\localTranslation.provider.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\localTranslation.provider.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfAnnotations.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\hooks\usePdfAnnotations.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","1","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\document\PdfPageModel.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\document\PdfPageModel.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\document\PdfDocumentController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\document\PdfDocumentController.ts","15","","","INDEFINIDO","0","0","0","0","0","0","0","1","0"
